id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
20,3395,0,183,113,46,52.5,229.5,0.9811621904373169,0.9807468056678772,0,0,672,544
21,1047,305,81,42,28,325.5,93.5,0.9773887395858765,0.9792256951332092,0,0,672,544
22,40072,452,127,219,402,661.5,212.5,0.9765043258666992,0.9448729157447815,0,0,672,544
23,516,0,224,16,33,10.5,246.5,0.9763047695159912,0.9903661012649536,0,0,672,544
24,23031,97,4,234,216,220.5,76.5,0.9759117364883423,0.907127857208252,0,0,672,544
25,136,362,64,11,12,367.5,76.5,0.9745427370071411,0.9926470518112183,0,0,672,544
26,1155,636,298,30,56,661.5,348.5,0.9726381897926331,0.9845361113548279,0,0,672,544
27,2978,570,15,101,46,619.5,25.5,0.9719749689102173,0.9754723310470581,0,0,672,544
28,5676,188,217,111,90,241.5,280.5,0.969367504119873,0.9640200734138489,0,0,672,544
29,516,394,134,36,52,409.5,161.5,0.9686650633811951,0.9884615540504456,0,0,672,544
